HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs,x,y,z,adjusted_brightness
88,00 01 04.60,-48 48 35.5,5.71,0.26915958,-48.80985919,5.97,-17.92,-6.75,0.7,0.911,,0.26909344,-48.8098756,371.08306998812196,1.7433034101165594,-400.59936171860755,5.710000038146973
107,00 01 20.11,-50 20 14.6,5.53,0.33380226,-50.33739907,5.84,7.34,10.59,0.61,1.615,,0.33383021,-50.33737333,361.3220591478499,2.1050007140112132,-425.500379600828,5.53000020980835
122,00 01 35.85,-77 03 55.1,4.78,0.39937928,-77.06529438,14.77,-56.52,-176.95,0.47,1.254,,0.39876554,-77.06572447,49.894552337902745,0.34779105438588753,-215.00395331322184,4.7800002098083505
124,00 01 37.02,+61 13 22.1,5.58,0.40424537,61.22280406,0.86,-2.8,-1.34,0.56,0.407,,0.40423123,61.2228008,1824.8147482538943,12.87518224002617,3322.5402548416696,5.579999923706055
145,00 01 49.44,-03 01 38.9,5.13,0.45598912,-3.02747891,7.98,18.9,-10.25,0.71,-0.128,,0.45603512,-3.02750382,407.9587220232982,3.246890201628659,-21.184740901958218,5.130000114440919
154,00 01 57.59,-06 00 50.3,4.37,0.48996506,-6.01397169,7.86,46.62,-41.32,0.94,1.631,,0.490079,-6.01407212,412.4816515542959,3.5273758491062424,-43.25345312994282,4.369999885559082
171,00 02 09.65,+27 05 04.2,5.8,0.54018776,27.08448905,80.63,778.59,-918.72,3.03,0.69,,0.54231321,27.08225603,35.99611161889774,0.3393963019512838,18.408672974064647,5.800000190734864
183,00 02 19.91,-29 43 13.6,5.04,0.58297574,-29.72044805,6.4,9.66,14.0,0.87,-0.15,,0.58300278,-29.72041402,448.5560668324889,4.564010176114098,-241.32862990387912,5.039999961853027
194,00 02 29.76,+08 29 08.1,5.7,0.62398938,8.48557854,26.53,-93.55,-47.5,0.77,0.315,,0.62375948,8.48546309,121.5273862185222,1.323589416055818,18.132204558889597,5.699999809265137
207,00 02 36.08,+66 05 56.3,5.87,0.65034249,66.09896341,1.57,3.32,1.14,1.67,1.073,,0.65036241,66.09896618,841.2292428130507,9.54874717436374,1898.3720395218102,5.869999885559081
